 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,5,17.340,-90.000,86.698,86.698,3.750
2,5,43.635,-104.036,218.177,218.177,4.272
3,5,53.764,-104.036,268.818,268.818,4.316
4,5,61.759,-135.000,308.797,308.797,4.451
5,4,51.010,180.000,204.042,204.042,2.550
6,5,36.440,-146.310,182.198,182.198,3.905
7,4,21.653,-26.565,86.613,86.613,2.512
8,4,40.285,-90.000,161.139,161.139,3.250
9,4,35.884,-108.435,143.537,143.537,3.400
10,6,31.400,-90.000,188.398,188.398,4.562
11,3,26.839,-153.435,80.516,80.516,1.768
12,2,32.333,-90.000,64.667,64.667,1.000
13,3,18.174,-90.000,54.521,54.521,1.500
14,5,20.048,-75.964,100.240,100.240,4.070
15,4,29.292,-90.000,117.167,117.167,3.250
16,3,23.326,-63.435,69.979,69.979,2.062
17,4,15.079,-71.565,60.315,60.315,2.550
18,2,13.198,-90.000,26.396,26.396,1.118
