 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,6,43.091,-153.435,258.544,258.544,4.534
2,8,34.160,-135.000,273.277,273.277,7.134
3,7,21.892,-90.000,153.241,153.241,5.667
4,4,66.787,-90.000,267.148,267.148,3.073
5,5,45.576,-45.000,227.880,227.880,4.069
6,6,41.638,-45.000,249.827,249.827,5.185
7,6,48.509,-36.870,291.052,291.052,4.631
8,9,47.909,-54.462,431.181,431.181,7.951
9,9,61.118,-56.310,550.059,550.059,7.867
10,8,23.748,-105.945,189.984,189.984,7.280
11,5,50.553,-135.000,252.764,252.764,4.485
12,4,42.056,-108.435,168.222,168.222,3.162
13,7,52.393,-63.435,366.749,366.749,6.263
14,5,52.749,-56.310,263.743,263.743,3.801
15,4,59.494,-108.435,237.975,237.975,3.018
16,7,42.244,-101.310,295.710,295.710,5.754
