 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,7,28.988,-108.435,202.919,202.919,6.128
2,4,29.651,-135.000,118.605,118.605,3.073
3,4,17.560,-90.000,70.239,70.239,2.687
4,5,15.476,-104.036,77.380,77.380,4.123
5,5,22.889,-90.000,114.444,114.444,3.667
6,4,16.315,-90.000,65.259,65.259,3.350
7,7,13.941,-108.435,97.586,97.586,5.588
8,5,15.011,-104.036,75.056,75.056,4.123
9,5,13.994,-90.000,69.972,69.972,4.346
10,7,12.962,-101.310,90.737,90.737,5.706
11,10,23.157,-122.005,231.572,231.572,9.434
12,7,17.778,-108.435,124.444,124.444,5.588
13,7,15.034,-81.870,105.241,105.241,6.412
14,7,17.296,-63.435,121.074,121.074,6.438
15,7,15.857,-90.000,111.000,111.000,6.000
16,7,15.494,-38.660,108.457,108.457,6.146
17,6,17.058,-128.660,102.348,102.348,5.467
18,9,12.789,-45.000,115.097,115.097,8.280
19,7,14.952,-141.340,104.667,104.667,6.403
