 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,7,28.085,-80.538,196.592,196.592,5.799
2,5,22.957,-75.964,114.786,114.786,3.717
3,6,13.279,-75.964,79.675,79.675,4.528
4,4,23.850,-90.000,95.398,95.398,2.795
5,4,12.776,-108.435,51.104,51.104,3.400
6,5,18.104,-90.000,90.521,90.521,3.783
7,7,21.077,-90.000,147.542,147.542,6.021
8,6,14.881,-90.000,89.287,89.287,4.750
9,6,23.750,-68.199,142.500,142.500,5.220
10,4,12.266,-135.000,49.065,49.065,3.400
11,6,29.573,-126.870,177.438,177.438,5.408
12,5,16.991,-123.690,84.953,84.953,3.953
13,4,24.995,-123.690,99.979,99.979,3.182
14,5,21.308,-116.565,106.542,106.542,4.250
15,7,19.897,-90.000,139.276,139.276,6.295
16,6,17.956,-90.000,107.737,107.737,5.303
17,6,17.806,-78.690,106.833,106.833,5.025
18,7,20.388,-90.000,142.715,142.715,6.021
19,7,17.517,-116.565,122.616,122.616,6.374
20,8,17.367,-90.000,138.939,138.939,6.792
21,7,17.505,-36.870,122.535,122.535,5.668
22,8,24.176,-71.565,193.405,193.405,6.731
23,6,13.327,-101.310,79.960,79.960,4.507
24,8,17.398,-98.130,139.183,139.183,7.404
25,8,24.266,-90.000,194.131,194.131,6.500
26,7,19.065,-90.000,133.458,133.458,5.551
27,5,18.887,-90.000,94.437,94.437,4.008
28,6,18.735,-78.690,112.412,112.412,4.809
29,5,21.187,-90.000,105.937,105.937,3.500
30,4,17.990,-146.310,71.961,71.961,3.052
31,6,26.098,-116.565,156.587,156.587,4.809
32,6,16.554,-116.565,99.324,99.324,4.809
33,6,13.711,-90.000,82.267,82.267,5.250
34,6,16.683,-90.000,100.100,100.100,4.500
