 ,Area,Mean,Angle,IntDen,RawIntDen,Length
1,9,29.867,-113.199,268.803,268.803,7.945
2,6,28.591,-120.964,171.545,171.545,5.256
3,10,25.348,-97.125,253.485,253.485,8.533
4,9,26.866,-119.745,241.797,241.797,8.404
5,5,16.031,-26.565,80.156,80.156,4.451
6,7,26.083,-53.130,182.580,182.580,5.668
7,6,28.455,-53.130,170.729,170.729,4.802
8,6,25.096,-53.130,150.575,150.575,5.483
9,7,19.728,-120.964,138.097,138.097,5.831
10,7,24.110,-98.130,168.769,168.769,6.295
11,5,24.345,-63.435,121.724,121.724,4.161
12,3,15.799,0.000,47.396,47.396,2.264
13,6,16.867,0.000,101.200,101.200,5.250
14,4,28.017,0.000,112.069,112.069,3.335
15,8,20.917,8.130,167.332,167.332,7.357
16,5,17.638,0.000,88.188,88.188,3.500
17,6,18.042,11.310,108.255,108.255,5.062
18,6,25.049,9.462,150.296,150.296,5.397
19,10,21.736,-40.601,217.361,217.361,9.031
20,4,17.000,0.000,68.000,68.000,3.000
21,5,21.767,0.000,108.833,108.833,4.008
22,7,44.128,-45.000,308.894,308.894,5.506
23,5,39.067,-56.310,195.333,195.333,3.816
24,5,28.158,-56.310,140.792,140.792,3.808
25,6,25.203,-63.435,151.215,151.215,4.589
