,line,edta,larve,length [um]
0,mefxCG4190,no,1,273.66686058789
1,mefxCG4190,no,2,594.8066362378372
2,mefxCG4190,no,3,706.8971157440084
3,mefxCG4190,no,4,706.8971157440084
4,mefxCG4190,no,5,843.9523358266196
5,mefxCG4190,no,6,820.9320103116679
6,mefxCG4190,no,7,791.1089190430043
7,mefxCG4190,no,8,594.8066362378372
8,mefxCG4190,no,9,377.7057489457247
9,mef,no,10,173.78008287493762
10,mef,no,11,173.78008287493762
11,mef,no,12,377.7057489457247
12,mef,yes,1,820.9320103116679
13,mef,yes,2,1054.0140616464503
14,mef,yes,3,560.5579659045093
15,mef,yes,4,691.4793101358645
16,mef,yes,5,813.9432392525405
17,mef,yes,6,1110.4735297149723
18,mef,yes,7,812.0963189632284
19,mef,yes,8,781.871868349736
20,mef,yes,9,663.1546194339944
21,mef,yes,10,899.8958083718991
22,mef,yes,11,938.0143171997781
23,mef,yes,12,992.7342768132655
24,mef,yes,13,617.4773858121808
25,mef,yes,14,817.4631973126519
26,mef,yes,15,882.929806147167
27,mefxCG4190,yes,16,811.7431047179957
28,mefxCG4190,yes,17,893.7619262559895
29,mefxCG4190,yes,18,893.7619262559895
30,mefxCG4190,yes,19,965.2346853540221
31,mefxCG4190,yes,20,1112.093231376309
32,mefxCG4190,yes,21,730.2238816530701
33,mefxCG4190,yes,22,634.7188215909333
34,mefxCG4190,yes,23,926.2099312267388
35,mefxCG4190,no,1,672.1890185765857
36,mefxCG4190,no,2,468.1702928462729
37,mef,no,3,609.070231781589
38,mef,no,4,507.2681871095597
39,mef,no,5,655.0787067575764
40,mef,no,5,683.7519867470999
41,mef,no,7,629.268006775925
42,mef,no,8,909.9038122530751
43,mef,no,9,683.7519867470999
44,mef,no,10,522.0265754488507
45,mef,no,11,604.0318901541624
46,mefxCG4190,no,12,717.5758551419325
47,mefxCG4190,no,13,499.3149890342806
48,mefxCG4190,yes,1,746.3530942790785
49,mefxCG4190,yes,2,1047.0210229171157
50,mefxCG4190,yes,3,808.7980730166283
51,mefxCG4190,yes,4,732.9617271872735
52,mefxCG4190,yes,5,643.3107108002808
53,mefxCG4190,yes,6,617.4773858121808
54,mefxCG4190,yes,7,738.1266727513089
55,mefxCG4190,yes,8,702.3745279444915
56,mefxCG4190,yes,9,658.445173789494
57,mefxCG4190,yes,10,1250.1750589446167
58,mef,yes,11,1127.4722552883081
59,mef,yes,12,692.210129632459
60,mef,yes,13,934.9462759335937
61,mef,yes,14,751.7218338934018
62,mef,yes,15,662.6454511827274
63,mef,yes,16,630.9543255828468
64,mef,yes,17,863.4838377526344
65,mef,yes,18,770.7907058298518
